stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
PM,2017-12-31,6021000000,6341000000,855000000,10432000000,17245000000,28748000000,4307000000,1096000000,11503000000,11503000000,18316000000,6725000000,6035000000,10648000000,,,1856000000,
PM,2016-12-31,6948000000,7250000000,797000000,9391000000,15870000000,26685000000,2768000000,1069000000,10815000000,10815000000,17294000000,6405000000,6967000000,10018000000,,,1788000000,
PM,2020-03-31,1821000000,1987000000,183000000,2402000000,4387000000,7153000000,596000000,183000000,2766000000,2766000000,4751000000,1967000000,1826000000,2583000000,,1881000000,,
PM,2019-12-31,1612000000,1782000000,430000000,2778000000,4878000000,7713000000,623000000,191000000,2835000000,2835000000,4935000000,2084000000,1616000000,2405000000,,1978000000,,
PM,2019-09-30,1891000000,2046000000,109000000,2605000000,4852000000,7642000000,635000000,186000000,2790000000,2790000000,5037000000,2232000000,1896000000,2681000000,,1855000000,,
PM,2019-06-30,2314000000,2436000000,143000000,2665000000,4509000000,7699000000,611000000,89000000,3190000000,3190000000,5034000000,1828000000,2319000000,3047000000,,1790000000,,
WFC,2019-12-31,17938000000,20041000000,899000000,0,57361000000,82458000000,4157000000,,25097000000,0,82458000000,42758000000,19549000000,24198000000,,14603000000,838000000,
WFC,2018-12-31,20689000000,22876000000,2168000000,0,53990000000,84696000000,5662000000,,30706000000,0,84696000000,40547000000,22393000000,28538000000,,13443000000,900000000,
WFC,2017-12-31,20554000000,22460000000,2439000000,0,56173000000,85989000000,4917000000,,29816000000,0,85989000000,40422000000,22183000000,27377000000,,15751000000,1143000000,
WFC,2016-12-31,20373000000,22045000000,2360000000,0,50061000000,84541000000,10075000000,,34480000000,0,84541000000,38826000000,21938000000,32120000000,,11235000000,916000000,
WFC,2020-03-31,42000000,505000000,141000000,0,12907000000,13712000000,159000000,,805000000,0,13712000000,9871000000,653000000,664000000,,612000000,3036000000,
WFC,2019-12-31,2546000000,2924000000,318000000,0,15378000000,19298000000,678000000,,3920000000,0,19298000000,11596000000,2873000000,3602000000,,838000000,3782000000,
WFC,2019-09-30,4037000000,4812000000,223000000,0,14976000000,21315000000,1304000000,,6339000000,0,21315000000,10210000000,4610000000,6116000000,,1112000000,4766000000,
WFC,2019-06-30,5848000000,6338000000,171000000,0,13278000000,21081000000,1294000000,,7803000000,0,21081000000,10129000000,6206000000,7632000000,,995000000,3149000000,
T,2019-12-31,13900000000,14975000000,9273000000,84141000000,153452000000,181193000000,3493000000,8422000000,27741000000,27741000000,97052000000,41094000000,13903000000,18468000000,,,17713000000,
T,2018-12-31,19370000000,19953000000,6745000000,79419000000,139138000000,170756000000,4920000000,7957000000,31618000000,31618000000,91337000000,31289000000,19370000000,24873000000,,,9795000000,
T,2017-12-31,29450000000,29847000000,8856000000,77810000000,136551000000,160546000000,14708000000,6300000000,23995000000,23995000000,82736000000,34354000000,29450000000,15139000000,,,1146000000,
T,2016-12-31,12976000000,13333000000,5093000000,77190000000,138881000000,163786000000,6479000000,4910000000,24905000000,24905000000,86596000000,35844000000,12976000000,19812000000,,,975000000,
T,2020-03-31,4578000000,4963000000,2238000000,19281000000,34276000000,42779000000,1302000000,2018000000,8503000000,8503000000,23498000000,7773000000,4610000000,6265000000,,17670000000,,
T,2019-12-31,2391000000,2704000000,3898000000,22736000000,39785000000,46821000000,434000000,2049000000,7036000000,7036000000,24085000000,10088000000,2394000000,3138000000,,17713000000,,
T,2019-09-30,3700000000,3949000000,1894000000,20154000000,37808000000,44588000000,937000000,2083000000,6780000000,6780000000,24434000000,10705000000,3700000000,4886000000,,11278000000,,
T,2019-06-30,3713000000,3974000000,1395000000,20512000000,38489000000,44957000000,1099000000,2149000000,6468000000,6468000000,24445000000,10876000000,3713000000,5073000000,,9824000000,,
INTC,2019-12-28,21048000000,21048000000,1630000000,29825000000,49537000000,71965000000,3010000000,489000000,22428000000,22428000000,42140000000,6150000000,21048000000,24058000000,13362000000,393000000,,
INTC,2018-12-29,21053000000,21053000000,73000000,27111000000,47604000000,70848000000,2264000000,468000000,23244000000,23244000000,43737000000,6750000000,21053000000,23317000000,13543000000,72000000,,
INTC,2017-12-30,9601000000,9601000000,1918000000,23663000000,44327000000,62761000000,10751000000,646000000,18434000000,18434000000,39098000000,7452000000,9601000000,20352000000,13035000000,72000000,,
INTC,2016-12-31,10316000000,10316000000,2069000000,22767000000,44382000000,59387000000,2620000000,733000000,15005000000,15005000000,36620000000,8636000000,10316000000,12936000000,12685000000,72000000,,
