stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
ADP,2020-03-31,115500000,,1002800000,2620600000,2084700000,,35708700000,1264200000,234400000,,34672800000,1705000000,3004500000,14304800000,2299300000,1855900000,18416500000,31379900000,63900000,43383400000,31012800000,2403000000,5490700000,37892700000,1315100000,1106700000,3200000,,
ADP,2019-12-31,132900000,,1003000000,2587900000,1947000000,,41365000000,1261500000,231200000,,40522400000,1500400000,3015500000,13940800000,2314900000,1809400000,17987600000,37269500000,63900000,49059400000,36907700000,2397300000,5364400000,43695000000,1253700000,1102500000,7200000,,
ADP,2019-09-30,108800000,,1003400000,2490400000,1978500000,,29508500000,1271100000,233900000,,29200900000,1403900000,2976900000,13646500000,2303300000,1794300000,17729600000,22069100000,63900000,37714700000,21687300000,2401400000,5360700000,32354000000,1213700000,1078900000,3545100000,,
ADP,2019-06-30,125500000,,2002200000,2439300000,2005400000,,34342300000,764200000,257300000,,32627700000,1949200000,3386700000,13347800000,2323000000,1857900000,17500600000,29943300000,63900000,41887700000,29760100000,2428500000,5399900000,36487800000,1183200000,1071500000,10500000,,
AMAT,2019-10-27,958000000,3474000000,4713000000,2641000000,4659000000,1703000000,10206000000,1529000000,180000000,1766000000,4447000000,3129000000,2031000000,23776000000,3399000000,1650000000,24386000000,96000000,9000000,19024000000,2237000000,,8214000000,10810000000,7595000000,156000000,489000000,,
AMAT,2018-10-28,996000000,3721000000,5309000000,2422000000,3264000000,1568000000,10604000000,1407000000,125000000,225000000,3922000000,3440000000,473000000,21319000000,3368000000,1557000000,20880000000,40000000,10000000,17633000000,2137000000,,6845000000,10788000000,7274000000,213000000,590000000,,
AMAT,2017-10-29,945000000,2930000000,5304000000,2338000000,5569000000,1143000000,12918000000,1066000000,64000000,385000000,4115000000,5010000000,512000000,15976000000,3368000000,651000000,18258000000,57000000,11000000,19419000000,2396000000,,9349000000,10070000000,7056000000,412000000,2266000000,,
AMAT,2016-10-30,813000000,2050000000,3125000000,2279000000,3326000000,929000000,8353000000,937000000,115000000,372000000,3632000000,3406000000,460000000,14855000000,3316000000,596000000,15252000000,87000000,11000000,14570000000,2021000000,,7217000000,7353000000,6809000000,575000000,343000000,,
AMAT,2020-04-26,1062000000,3725000000,6215000000,2777000000,5466000000,1678000000,12735000000,1776000000,315000000,1794000000,4765000000,5281000000,2068000000,24310000000,3426000000,1626000000,25638000000,124000000,9000000,21815000000,2468000000,,9024000000,12791000000,7687000000,132000000,423000000,,
AMAT,2020-01-26,1043000000,3472000000,4714000000,2815000000,5119000000,1713000000,10769000000,1711000000,188000000,1746000000,4569000000,3424000000,2033000000,23984000000,3399000000,1708000000,25085000000,117000000,9000000,19767000000,2315000000,,8660000000,11107000000,7550000000,142000000,536000000,,
AMAT,2019-10-27,958000000,3474000000,4713000000,2641000000,4659000000,1703000000,10206000000,1529000000,180000000,1766000000,4447000000,3129000000,2031000000,23776000000,3399000000,1650000000,24386000000,96000000,9000000,19024000000,2237000000,,8214000000,10810000000,7595000000,156000000,489000000,,
