Symbol,Nombre oficial,Sector,Subsector,Security Name,Country
PXD,PIONEER NATURAL RESOURCES COMPANY,Energy,Oil & Gas,Pioneer Natural Resources Company Common Stock,United States
PXLW,"PIXELWORKS, INC.",Information Technology,Semiconductors & Semiconductor Equipment,"Pixelworks, Inc. - Common Stock",United States
PYPL,"PAYPAL HOLDINGS, INC.",Information Technology,Software & IT Services,PayPal Holdings Inc. Common Stock,United States
PZZA,Papa John's,Real Estate,Hotels & Entertainment Services,"Papa John'S International, Inc. - Common Stock",United States
QABA,First Trust NASDAQ ABA Community Bank Index Fund,,,First Trust NASDAQ ABA Community Bank Index Fund,United States
QADA,QAD Inc.,,,QAD Inc. - Class A Common Stock,United States
QADB,QAD Inc.,,,QAD Inc. - Common Stock,United States
QAT,iShares MSCI Qatar Capped ETF,,,iShares MSCI Qatar Capped ETF,South Korea
QBAK,Qualstar,Information Technology,"Computers, Phones & Household Electronics",Qualstar Corporation - Common Stock,United States
QCCO,QC Holdings,Financials,Banking Services,"QC Holdings, Inc. - Common Stock",United States
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,,,First Trust NASDAQ Clean Edge Green Energy Index Fund,United States
QCOM,QUALCOMM INCORPORATED,Information Technology,Semiconductors & Semiconductor Equipment,QUALCOMM Incorporated - Common Stock,United States
QCRH,QCR Hldgs,Financials,Banking Services,"QCR Holdings, Inc. - Common Stock",United States
QDEL,Quidelortho,Health Care,Healthcare Equipment & Supplies,Quidel Corporation - Common Stock,United States
QGEN,Qiagen,Health Care,Biotechnology & Medical Research,Qiagen N.V. - Common Shares,Netherlands
QINC,First Trust RBA Quality Income ETF,,,First Trust RBA Quality Income ETF,United States
QIWI,Qiwi,Utilities,Professional & Commercial Services,QIWI plc - American Depositary Shares,Cyprus
QKLS,QKL,Consumer Staples,Diversified Retail,"QKL Stores, Inc. - Common Stock",United States
QLGC,QLogic Corporation,,,QLogic Corporation - Common Stock,United States
QLIK,Qlik Technologies Inc.,,,Qlik Technologies Inc. - Common Stock,United States
QLTI,QLT Inc.,,,QLT Inc. - Common Shares,United States
QLTY,"Quality Distribution, Inc.",,,"Quality Distribution, Inc. - Common Stock",United States
QLYS,Qualys,Information Technology,Software & IT Services,"Qualys, Inc. - Common Stock",United States
QNST,Quinstreet,Information Technology,Software & IT Services,"QuinStreet, Inc. - Common Stock",United States
QQEW,First Trust NASDAQ,,,First Trust NASDAQ-100 Equal Weighted Index Fund,United States
QQQ,"PowerShares QQQ Trust, Series 1",,,"PowerShares QQQ Trust, Series 1",United States
QQQC,Global X NASDAQ China Technology ETF,,,Global X NASDAQ China Technology ETF,United States
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,,,Nuveen NASDAQ 100 Dynamic Overwrite Fund - Shares of Beneficial Interest,United States
QQXT,First Trust NASDAQ,,,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,United States
QRHC,Quest Resource,Utilities,Professional & Commercial Services,Quest Resource Holding Corporation. - Common Stock,United States
QRVO,Qorvo,Information Technology,Semiconductors & Semiconductor Equipment,"Qorvo, Inc. - Common Stock",United States
QSII,"Quality Systems, Inc.",,,"Quality Systems, Inc. - Common Stock",United States
QTEC,First Trust NASDAQ,,,First Trust NASDAQ-100- Technology Index Fund,United States
QTNT,Quotint,Health Care,Pharmaceuticals,Quotient Limited - Ordinary Shares,Switzerland
QTNTW,Quotient Limited,,,Quotient Limited - Warrant,United States
QTWW,"Quantum Fuel Systems Technologies Worldwide, Inc.",,,"Quantum Fuel Systems Technologies Worldwide, Inc. - Common Stock",United States
QUIK,QuickLogic,Information Technology,Semiconductors & Semiconductor Equipment,QuickLogic Corporation - Common Stock,United States
QUMU,Qumu,Information Technology,Software & IT Services,Qumu Corporation - Common Stock,United States
QUNR,Qunar Cayman Islands Limited,,,Qunar Cayman Islands Limited - American Depositary Shares,France
QURE,Uniqure,Health Care,Biotechnology & Medical Research,uniQure N.V. - Ordinary Shares,Netherlands
QVCA,Liberty Interactive Corporation,,,Liberty Interactive Corporation - Series A Liberty Interactive Common Stock,United States
QVCB,Liberty Interactive Corporation,,,Liberty Interactive Corporation - Series B Liberty Interactive common stock,United States
QYLD,Recon Capital NASDAQ,,,Recon Capital NASDAQ-100 Covered Call ETF,United States
RADA,Rada,Communication Services,Communications & Networking,Rada Electronics Industries Limited - Ordinary Shares,Israel
RAIL,FreightCar Amer,Industrials,"Machinery, Equipment & Components","Freightcar America, Inc. - Common Stock",United States
RAND,Rand Capital,Financials,Investment Banking & Investment Services,Rand Capital Corporation - Common Stock ($0.10 Par Value),United States
RARE,ULTRAGENYX PHARMACEUTICAL INC.,Health Care,Biotechnology & Medical Research,Ultragenyx Pharmaceutical Inc. - Common Stock,United States
RAVE,Rave Restaurant,Real Estate,Hotels & Entertainment Services,"Rave Restaurant Group, Inc. - Common Stock",United States
RAVN,Raven Prpty Grp,Real Estate,Real Estate Operations,"Raven Industries, Inc. - Common Stock",United States
RBCAA,Republic Banc,Financials,Banking Services,"Republic Bancorp, Inc. - Class A Common Stock",United States
RBCN,Rubicon Tech,Metals & Mining,Metals & Mining,"Rubicon Technology, Inc. - Common Stock",United States
RBPAA,"Royal Bancshares of Pennsylvania, Inc.",,,"Royal Bancshares of Pennsylvania, Inc. - Class A Common Stock",United States
RCII,"RENT-A-CENTER, INC.",Consumer Staples,Specialty Retailers,Rent-A-Center Inc. - Common Stock,United States
RCKY,Rocky Brands,Industrials,Textiles & Apparel,"Rocky Brands, Inc. - Common Stock",United States
RCL,ROYAL CARIBBEAN CRUISES LTD.,Real Estate,Hotels & Entertainment Services,D/B/A Royal Caribbean Cruises Ltd. Common Stock,United States
RCMT,RCM Tech,Industrials,Construction & Engineering,"RCM Technologies, Inc. - Common Stock",United States
RCON,Recon,Utilities,Oil & Gas Related Equipment and Services,"Recon Technology, Ltd. - Ordinary Shares",China
